path,language,extension,physical_lines,blank_lines,comment_lines,code_lines,category
tests/test_qt_thread_exception_handling.py,Python,.py,32,9,0,23,active
tests/test_reports_page_import.py,Python,.py,24,5,0,19,active
tests/test_responsive_layout.py,Python,.py,34,10,0,24,active
tests/test_serial_monitor_boot_banner.py,Python,.py,119,28,55,36,active
tests/test_serial_troubleshooting.py,Python,.py,17,4,0,13,active
tests/test_settings_persistence.py,Python,.py,37,10,0,27,active
tests/test_settings_toggles.py,Python,.py,176,28,118,30,active
tests/test_student_input_regression.py,Python,.py,239,26,205,8,active
tests/test_student_input_validation.py,Python,.py,133,26,101,6,active
tests/test_theme_switching.py,Python,.py,47,17,0,30,active
tests/test_type_hints.py,Python,.py,23,5,0,18,active
tests/test_vidpid_normalization.py,Python,.py,29,8,3,18,active
tests/whs_dashboard.py,Python,.py,532,90,64,378,active
tools/_database_refactor.py,Python,.py,733,135,104,494,active
tools/archive_unused_python.py,Python,.py,37,6,1,30,active
tools/build_portable.bat,Shell,.bat,36,4,0,32,active
tools/copilot_forensic_search.py,Python,.py,59,6,1,52,active
tools/debug_db_connections.py,Python,.py,40,8,6,26,active
tools/list_files.bat,Shell,.bat,4,0,0,4,active
tools/portable_bootstrap.bat,Shell,.bat,24,3,0,21,active
tools/runtime_manager.py,Python,.py,197,36,17,144,active
tools/serial_handler_connect_probe.py,Python,.py,26,5,1,20,active
tools/serial_pipeline_tester.py,Python,.py,194,37,2,155,active
tools/serial_worker_probe.py,Python,.py,80,21,1,58,active
tools/verify_gui_startup.py,Python,.py,23,6,1,16,active
